REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1970-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.8,,,,1
1971-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.0,,,,1
1971-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.1,,,,1
1971-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.2,,,,1
1971-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.4,,,,1
1971-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.5,,,,1
1971-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.6,,,,1
1971-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.0,,,,1
1971-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.4,,,,1
1971-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.0,,,,1
1971-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.0,,,,1
1971-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.0,,,,1
1971-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.3,,,,1
1972-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.4,,,,1
1972-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.6,,,,1
1972-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.5,,,,1
1972-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.7,,,,1
1972-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.5,,,,1
1972-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,19.5,,,,1
